Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Length,TTL,Payload_Size,Anomaly_Score,Status,Reason
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,78,64,0,0.0,Normal,Normal traffic
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,74,120,0,0.0,Normal,Normal traffic
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.0,Normal,Normal traffic
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,1466,64,1400,0.3,Normal,Large packet size
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,910,64,844,0.3,Normal,Large packet size
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,1466,63,1400,0.3,Normal,Large packet size
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,130,120,64,0.0,Normal,Normal traffic
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.0,Normal,Normal traffic
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,140,64,74,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,158,64,92,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,1386,64,1320,0.7,Suspicious,"Large packet size, High frequency from 10.86.4.68"
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,1466,64,1400,0.7,Suspicious,"Large packet size, High frequency from 10.86.4.68"
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,614,64,548,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,66,120,0,0.0,Normal,Normal traffic
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,66,120,0,0.0,Normal,Normal traffic
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,1026,120,960,0.7,Suspicious,"Large packet size, High frequency from 142.250.207.174"
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,97,120,31,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,97,64,31,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,66,120,0,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,312,120,246,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,128,120,62,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,97,120,31,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,105,120,39,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,10.86.4.68,142.250.207.174,53388,443,6,105,64,39,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:36,142.250.207.174,10.86.4.68,443,53388,6,66,120,0,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:37,10.86.0.2,255.255.255.255,67,68,17,354,16,312,0.2,Normal,Unusual TTL
2025-11-04 19:06:38,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:38,142.250.207.174,10.86.4.68,443,53388,6,66,120,0,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:39,142.251.220.46,10.86.4.68,443,53276,6,124,119,58,0.0,Normal,Normal traffic
2025-11-04 19:06:39,142.250.207.174,10.86.4.68,443,53388,6,66,120,0,0.4,Normal,High frequency from 142.250.207.174
2025-11-04 19:06:39,10.86.4.68,142.251.220.46,53276,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:39,10.86.4.68,142.250.207.174,53388,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:39,10.86.4.68,142.251.220.46,53276,443,6,101,64,35,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:39,10.86.4.68,142.251.220.46,53276,443,6,101,64,35,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:39,142.251.220.46,10.86.4.68,443,53276,6,66,119,0,0.0,Normal,Normal traffic
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,78,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,74,120,0,0.0,Normal,Normal traffic
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,1466,64,1400,0.7,Suspicious,"Large packet size, High frequency from 10.86.4.68"
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,836,64,770,0.7,Suspicious,"Large packet size, High frequency from 10.86.4.68"
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,1466,63,1400,0.3,Normal,Large packet size
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,125,120,59,0.0,Normal,Normal traffic
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,140,64,74,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,158,64,92,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,311,64,245,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,257,64,191,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,66,120,0,0.0,Normal,Normal traffic
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,66,120,0,0.0,Normal,Normal traffic
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,1016,120,950,0.7,Suspicious,"Large packet size, High frequency from 8.8.8.8"
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,97,120,31,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,97,64,31,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,354,120,288,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,565,120,499,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,97,120,31,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,105,120,39,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,134,120,68,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,565,120,499,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,97,120,31,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,116.119.99.77,53390,443,6,78,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,8.8.8.8,53389,443,6,105,64,39,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,8.8.8.8,10.86.4.68,443,53389,6,66,120,0,0.4,Normal,High frequency from 8.8.8.8
2025-11-04 19:06:40,116.119.99.77,10.86.4.68,443,53390,6,74,119,0,0.0,Normal,Normal traffic
2025-11-04 19:06:40,10.86.4.68,116.119.99.77,53390,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,10.86.4.68,116.119.99.77,53390,443,6,1466,64,1400,0.7,Suspicious,"Large packet size, High frequency from 10.86.4.68"
2025-11-04 19:06:40,10.86.4.68,116.119.99.77,53390,443,6,444,64,378,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,116.119.99.77,10.86.4.68,443,53390,6,1466,63,1400,0.3,Normal,Large packet size
2025-11-04 19:06:40,10.86.4.68,116.119.99.77,53390,443,6,66,64,0,0.4,Normal,High frequency from 10.86.4.68
2025-11-04 19:06:40,116.119.99.77,10.86.4.68,443,53390,6,1466,119,1400,0.3,Normal,Large packet size
2025-11-04 19:06:40,116.119.99.77,10.86.4.68,443,53390,6,1466,119,1400,0.3,Normal,Large packet size
